Name,Keyword_Pattern__c,Match_Priority__c,Recommended_Specialty__c,Routing_Summary__c,Disclaimer__c,Active__c
"Lump neck → Med Onc",lump neck,10,Medical Oncology,"Many people discuss symptoms like persistent lumps or swelling in the neck area with our medical oncology team for evaluation. This is navigation guidance, not a diagnosis.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Fatigue persistent → Med Onc",persistent fatigue,8,Medical Oncology,"Ongoing fatigue concerns are often reviewed by our medical oncology specialists. This helps you connect with the right team, but is not a diagnosis.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Breast lump → Med Onc",breast lump,10,Medical Oncology,"Questions about breast lumps or changes are commonly discussed with our medical oncology specialists. This is informational guidance, not a diagnosis.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Chest pain → Emergency first",chest pain,11,Medical Oncology,"Chest pain can be serious. If this is sudden, severe, or you also have shortness of breath, sweating, or pain spreading to the arm or jaw, call local emergency services immediately. If it is not an emergency, we can still help you find the right care team in our network—this message is navigation guidance only, not a diagnosis.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Weight loss unexplained → Med Onc",unexplained weight loss,9,Medical Oncology,"Unexplained weight loss is often discussed with medical oncology for thorough evaluation. This is guidance only, not a diagnosis.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Cough persistent → Rad Onc",persistent cough,7,Radiation Oncology,"Long-lasting cough concerns may be reviewed by radiation oncology or other specialists. This helps guide you, but is not medical advice.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Bleeding abnormal → Surg Onc",abnormal bleeding,8,Surgical Oncology,"Abnormal bleeding concerns may be reviewed by surgical oncology specialists. This helps you find the right team, not a diagnosis.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Blood disorder → Hematology",blood disorder,10,Hematology,"Blood-related concerns are typically reviewed by our hematology team. This helps connect you with appropriate specialists.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Anemia symptoms → Hematology",anemia,8,Hematology,"Anemia and related symptoms are commonly discussed with hematology specialists for evaluation.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Lymph node swelling → Med Onc",lymph node swelling,9,Medical Oncology,"Swollen lymph nodes are often evaluated by medical oncology specialists. This navigation help is not a diagnosis.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Bone pain → Med Onc",bone pain,7,Medical Oncology,"Persistent bone pain concerns may be discussed with medical oncology. This is informational guidance only.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Night sweats → Hematology",night sweats,6,Hematology,"Persistent night sweats may be reviewed by hematology or other specialists. This helps guide your inquiry.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
"Difficulty swallowing → Rad Onc",difficulty swallowing,8,Radiation Oncology,"Swallowing difficulties are often evaluated by radiation oncology or gastroenterology. This is guidance only.","This is not medical advice. For emergency symptoms, please call local emergency services immediately.",true
